Business Name,State,City,Address,Jobs Retained,Date Approved
"THE BEAUTIFUL VIEW LANDSCAPE, LLC",Not Found,Not Found,"11564 NE 51ST PL OKEECHOBEE, FL 34972",56,2020-04-27
"ZARAHN INSURANCE AGENCY, INC.",Not Found,Not Found,"229 Beverly Pkwy PENSACOLA, FL 32505",0,2020-04-30
ZEN HOSPITALITY LLC,Not Found,Not Found,"7813 N DAVIS HWY PENSACOLA, FL 32514",40,2020-04-14
"ZARZAUR LAW, P.A.",Not Found,Not Found,"100 PALAFOX PL PENSACOLA, FL 32502",16,2020-04-08
WTL CORPORATION,Not Found,Not Found,"8132 PITTMAN AVE PENSACOLA, FL 32534",54,2020-06-29
YOUNG MEN'S CHRISTIAN ASSOCATION OF NORTHWEST FLORIDA INC.,Not Found,Not Found,"165 E INTENDENCIA ST PENSACOLA, FL 32502",74,2020-04-14
"WOODLANDS MEDICAL SPECIALISTS, P.A.",Not Found,Not Found,"4724 North Davis Hwy PENSACOLA, FL 32503",270,2020-04-07
TYSON MOTOR LLC,Not Found,Not Found,"1 SW FRONTAGE RD SHOREWOOD, IL 60404",Not Found,2020-04-10
"UNDERGROUND PIPE & VALVE, CO",Not Found,Not Found,"211 Amendodge Dr SHOREWOOD, IL 60404",21,2020-04-06
"YOUNG, BILL, BOLES, PALMER, DUKE &AMP; THOMPSON",Not Found,Not Found,"226 Palafox Place 7th Floor PENSACOLA, FL 32502",36,2020-05-03
TRINITY CHRISTIAN SCHOOL,Not Found,Not Found,"3107 Trinity Boulevard, TEXARKANA, AR 71854",0,2020-04-29
"WORLD AUTO GLASS, L.L.C.",Not Found,Not Found,"6310 PALAFOX ST PENSACOLA, FL 32503",19,2020-04-27
TRINITY CHRISTIAN SCHOOL,Not Found,Not Found,"1077 Mogollon Rd. PRESCOTT, AZ 86301",102,2020-04-05
TRINITY CHRISTIAN SCHOOL,Not Found,Not Found,"3902 KENWOOD DRIVE SPRING VALLEY, CA 91977",Not Found,2020-05-03
TRINITY CHRISTIAN SCHOOL,Not Found,Not Found,"200 Trinity Rd. DUBLIN, GA 31021",56,2020-04-07
TRINITY CHRISTIAN SCHOOL,Not Found,Not Found,"571 E Main St STATESBORO, GA 30461",33,2020-05-02
TRINITY CHRISTIAN SCHOOL,Not Found,Not Found,"901 Shorewood Dr. SHOREWOOD, IL 60404",90,2020-04-14
"TRANSPORT EQUIPMENT, INC",Not Found,Not Found,"18126 NW FRONTAGE RD SHOREWOOD, IL 60404",23,2020-04-04
"TRANSPORT EQUIPMENT, INC.",Not Found,Not Found,"9300 INSPIRATION DR MISSOULA, MT 59808",62,2020-04-03
"SRP HOLDINGS GROUP, LLC",Not Found,Not Found,"25434 Prairiewood Ln SHOREWOOD, IL 60404",0,2020-04-09
"THE WRENCH TRUCK &AMP; TRAILER REPAIR, INC.",Not Found,Not Found,"21726 S COLLEEN CT SHOREWOOD, IL 60404",17,2020-05-01
"SOUTHWEST MECHANICAL, INC",Not Found,Not Found,"805 N DODSWORTH AVE COVINA, CA 91724",19,2020-05-03
SOUTHWEST MECHANICAL INC,Not Found,Not Found,"276 COTTAGE ST SHOREWOOD, IL 60404",6,2020-04-27
TAILORED INVESTMENTS LLC,Not Found,Not Found,"1101 Country Dr Suite B SHOREWOOD, IL 60604",16,2020-04-06
WINESTEAD LLC,Not Found,Not Found,"24683 WASHINGTON AVE MURRIETA, CA 92562",67,2020-04-15
WPA PRODUCTION INC,Not Found,Not Found,"38655 SKY CANYON DR MURRIETA, CA 92563",89,2020-04-28
YOUR WAY FUMIGATION,Not Found,Not Found,"41880 KALMIA ST STE 170 MURRIETA, CA 92562",30,2020-05-01
WESTPACC INC,Not Found,Not Found,"29910 MURRIETA HOT SPRINGS RD Ste G503 MURRIETA, CA 92563",Not Found,2020-04-11
"WEST PAK AVOCADO, INC.",Not Found,Not Found,"38655 SKY CANYON DR MURRIETA, CA 92563",96,2020-04-28
WINDOWFITS.COM,Not Found,Not Found,"26871 HOBIE CIR MURRIETA, CA 92562",27,2020-04-15
WEBSEC CORPORATION,Not Found,Not Found,"41531 Date St MURRIETA, CA 92562",Not Found,2020-04-30
"WCMHI, INC.",Not Found,Not Found,"41507 CHERRY ST MURRIETA, CA 92562",15,2020-04-30
WILLIAM AL MUSKAT CFP INC,Not Found,Not Found,"990 ENCHANTED WAY 104 SIMI VALLLEY, CA 93065",0,2020-05-02
"STEVE DECLERCK ENTERPRISES, INC",Not Found,Not Found,"303 N OREGON ST YREKA, CA 96097",29,2020-04-05
MATRIX ROOFING &AMP; WATERPROOFING INC,Not Found,Not Found,"5160 VAN NUYS BLVD #486 SLAVA KRASNOV, CA 91436",15,2020-05-03
3KEY CONSULTING INC,Not Found,Not Found,"4565 INDUSTRIAL STREET SUITE 7B SIMIL VALLEY, CA 93063",Not Found,2020-05-03
SISKIYOU TECHNOLOGY CONSULTANTS,Not Found,Not Found,"1512 S OREGON ST YREKA, CA 96097",11,2020-04-28
"YUCCA VALLEY FORD CENTER, INC.",Not Found,Not Found,"57927 29 PALMS HWY YUCCA VALLEY, CA 92284",Not Found,2020-04-27
"YUCCA VALLEY AUTO SUPER STORES, INC.",Not Found,Not Found,"57909 29 PALMS HWY YUCCA VALLEY, CA 92284",Not Found,2020-04-27
YOUNTVILLE FOOD EMPORIUM LLC,Not Found,Not Found,"6540 Washington St YOUNTVILLE, CA 94599",Not Found,2020-06-16
VINTNERS GOLF CLUB LLC,Not Found,Not Found,"7901 SOLANO AVE YOUNTVILLE, CA 94599",30,2020-04-28
"YUCCA FAMILY MEDICAL CARE, INC.",Not Found,Not Found,"57675 29 HWY YUCCA VALLEY, CA 92284",21,2020-05-22
"WHEELER AUTO GROUP, INC.",Not Found,Not Found,"350 Colusa Avenue YUBA CITY, CA 95991",59,2020-04-10
WILBUR PACKING COMPANY INC,Not Found,Not Found,"1425 PEASE RD YUBA CITY, CA 95993",Not Found,2020-04-11
"STEVE DECLERCK BK, INC",Not Found,Not Found,"303 N. OREGON ST YREKA, CA 96097",181,2020-04-05
VILLICANA INC,Not Found,Not Found,"3148 LA MANTIA DR YUBA CITY, CA 95993",30,2020-05-01
WESTERN AG INCORPORATED,Not Found,Not Found,"686 KING AVE YUBA CITY, CA 95991",56,2020-05-15
"VALLEY PUMP & MOTOR WORKS, INC",Not Found,Not Found,"470 N. George Washington Blvd YUBA CITY, CA 95993",14,2020-04-08
"WESTHAVEN, INC.",Not Found,Not Found,"800 NORTHGATE DR YUBA CITY, CA 95991",Not Found,2020-05-02
VALLEY FAIR REALTY CORPORATION,Not Found,Not Found,"508 FORBES AVE YUBA CITY, CA 95991",22,2020-04-07
VALLEY TRUCK AND TRACTOR INC.,Not Found,Not Found,"1003 STABLER LN YUBA CITY, CA 95993",157,2020-05-03
YUBA SUTTER SUBWAY LLC,Not Found,Not Found,"1815 TURIN DR YUBA CITY, CA 95993",39,2020-04-13
YUBA CITY CHARTER SCHOOL,Not Found,Not Found,"226 Wilbur Avenue YUBA CITY, CA 95991",Not Found,2020-04-06
"YUBA CITY RACQUET CLUB, INC",Not Found,Not Found,"825 JONES RD YUBA CITY, CA 95991",30,2020-04-09
WRIGHT & WRIGHT INC,Not Found,Not Found,"1215 PLUMAS ST Suite 1500 YUBA CITY, CA 95991",9,2020-04-09
WISE RIDERS INC,Not Found,Not Found,"720 W Onstott Frontage Rd YUBA CITY, CA 95991",26,2020-04-15
WILLOW GLEN CARE CENTER,Not Found,Not Found,"1547 Plumas Court YUBA CITY, CA 95991",187,2020-04-16
THE HAPPY VIKING LLC,Not Found,Not Found,"714 Plumas Street YUBA CITY, CA 95991",45,2020-04-27
THE GEWEKE COMPANY,Not Found,Not Found,"871 E Onstott Rd YUBA CITY, CA 95991",147,2020-04-12
"THE ENDOSCOPY CENTER, INC",Not Found,Not Found,"870 SHASTA ST Ste 100 YUBA CITY, CA 95991",10,2020-04-29
"UNITY FOREST PRODUCTS, INC.",Not Found,Not Found,"1162 Putman Ave YUBA CITY, CA 95992",59,2020-04-12
"TEC-COM LOW VOLTAGE SOLUTIONS, INC.",Not Found,Not Found,"2045 Live Oak Blvd YUBA CITY, CA 95991",10,2020-04-15
UNITED LANDSCAPE RESOURCE INC.,Not Found,Not Found,"5411 COLUSA HWY YUBA CITY, CA 95993",31,2020-04-16
TRIDENT,Not Found,Not Found,"1110 Civic Center Blvd #102 YUBA CITY, CA 95993",33,2020-04-16
TRI MISSION COMPANY,Not Found,Not Found,"1133 GRAY AVE SUITE A YUBA CITY, CA 95991",28,2020-04-28
"TAYLOR BROTHERS FARMS, INC.",Not Found,Not Found,"182 Wilkie Ave YUBA CITY, CA 95991",76,2020-04-09
"SUTTER BUTTES MRI, LLC",Not Found,Not Found,"945 Shasta St, Suite 100 YUBA CITY, CA 95991",31,2020-04-15
"SUTTER NORTH MEDICAL GROUP, A PROFESSIONAL CORPORATION",Not Found,Not Found,"969 Plumas St Ste 205 YUBA CITY, CA 95991",100,2020-05-03
SUNRISE AG LABOR,Not Found,Not Found,"2094 Westminster Drive YUBA CITY, CA 95991",318,2020-04-28
SUTTER BUTTES IMAGING MEDICAL GROUP INC.,Not Found,Not Found,"945 Shast St YUBA CITY, CA 95991",8,2020-04-15
SUNNY BADYAL DDS INC,Not Found,Not Found,"1467 LIVE BLVD YUBA CITY, CA 95991",16,2020-05-03
STOHLMAN & ROGERS INC,Not Found,Not Found,"1528 COLUSA HWY YUBA CITY, CA 95993",32,2020-04-13
SUNRISE GROUP II,Not Found,Not Found,"647 Garden Highway YUBA CITY, CA 95991",22,2020-04-16
SUTTER FOOD CO INC,Not Found,Not Found,"1500 REED RD YUBA CITY, CA 95993",30,2020-05-01
"SILLER BROTHERS, INC.",Not Found,Not Found,"1250 SMITH RD YUBA CITY, CA 95991",182,2020-04-13
"SACRAMENTO VALLEY WALNUT GROWERS, LLC",Not Found,Not Found,"896 Obanion Rd. YUBA CITY, CA 95991",49,2020-04-09
SCRIPT DEPOT LP,Not Found,Not Found,"1619 FRANKLIN RD YUBA CITY, CA 95993",17,2020-04-07
"SELECT PROPERTY MANAGEMENT, INC.",Not Found,Not Found,"437 CENTURY PARK DR YUBA CITY, CA 95991",46,2020-04-28
SACRAMENTO PACKING INC,Not Found,Not Found,"1880 LORRAINE WAY YUBA CITY, CA 95992",20,2020-04-15
SIERRA MANAGEMENT SERVICES INC,Not Found,Not Found,"1110 Civic Center Blvd STE 502 YUBA CITY, CA 95993",21,2020-04-13
"SIERRA GOLD NURSERIES, INC.",Not Found,Not Found,"5320 GAREDEN HIGHWAY YUBA CITY, CA 95991",357,2020-04-07
"SJB FOODS, INC",Not Found,Not Found,"1025 Colusa Ave YUBA CITY, CA 95991",44,2020-04-07
QUALITY EDUCATION SERVICES AND TRAINING,Not Found,Not Found,"1585 BUTTE HOUSE RD Ste D YUBA CITY, CA 95993",95,2020-04-28
RAVI & JAY THIARA FARMS,Not Found,Not Found,"1537 ATKINSON CT YUBA CITY, CA 95932",274,2020-04-14
"RICHARD WILBUR RANCH, INC",Not Found,Not Found,"1425 PEASE RD YUBA CITY, CA 95993",Not Found,2020-04-11
"S&J RENTALS, INC.",Not Found,Not Found,"253 Colusa Avenue YUBA CITY, CA 95991",13,2020-04-14
R.B. SPENCER INC,Not Found,Not Found,"1188 HASSETT AVE YUBA CITY, CA 95991",40,2020-04-10
"PSYCHWEST, CLINICAL &AMP; FORENSIC PSYCHOLOG",Not Found,Not Found,"1445 BUTTE HOUSE RD STE F YUBA CITY, CA 95993",28,2020-05-03
RAMINDER BAINS,Not Found,Not Found,"1685 Barry Rd YUBA CITY, CA 95993",Not Found,2020-04-29
"RICHARD'S TREE SERVICE, INC.",Not Found,Not Found,"2906 S Walton Ave YUBA CITY, CA 95993",15,2020-04-30
PETER MASIH PAGANY,Not Found,Not Found,"1727 NEWPORT DR YUBA CITY, CA 95993",128,2020-06-08
"PLATINUM EXPRESS, INC.",Not Found,Not Found,"1728 VINTAGE CT YUBA CITY, CA 95993",94,2020-04-27
PRECISION PRIVATE SECURITY,Not Found,Not Found,"367 WILBUR AVE YUBA CITY, CA 95992",56,2020-04-28
PASTOR OF ST ISIDORE PARISH YUBA CITY,Not Found,Not Found,"222 s clark ave YUBA CITY, CA 95991",26,2020-04-28
PANCAKES 1749 INCORPORATED,Not Found,Not Found,"1310 Franklin Rd YUBA CITY, CA 95993",Not Found,2020-04-28
PRECISE RADIOLOGICAL ASSOCIATES INC,Not Found,Not Found,"470 PLUMAS BLVD STE 101 YUBA CITY, CA 95991",13,2020-05-03
"PRIORITIES, INC.",Not Found,Not Found,"1535 Plumas Court, Suite B YUBA CITY, CA 95991",26,2020-04-29
"PCRG, INC.",Not Found,Not Found,"1078 HARTER PKWY YUBA CITY, CA 95993",44,2020-04-06
"NTA GENERAL INSURANCE AGENCY, INC.",Not Found,Not Found,"515 Garden Hwy YUBA CITY, CA 95991",88,2020-04-27
NORTHWEST FREIGHTWAY INC,Not Found,Not Found,"3241 Industrial Drive YUBA CITY, CA 95993",141,2020-04-29
"NORTH VALLEY CRITICAL CARE GROUP, INC",Not Found,Not Found,"1526 PLUMAS CT YUBA CITY, CA 95991",Not Found,2020-04-13
"NORTH VALLEY BEHAVIORAL HEALTH, LLC",Not Found,Not Found,"1535 PLUMAS CT Suite A YUBA CITY, CA 95991",69,2020-04-14
"NORTH VALLEY GASTROENTEROLOGY MEDICAL GROUP, INC.",Not Found,Not Found,"870 Shasta ST, Suite 200 YUBA CITY, CA 95991",13,2020-04-29
NSFIT INC,Not Found,Not Found,"471 Century Park Drive YUBA CITY, CA 95991",49,2020-04-28
"NORTHPOINTE VETERINARY HOSPITAL, INC.",Not Found,Not Found,"880 West Onstott Road YUBA CITY, CA 95991",0,2020-04-05
ORCHARD MACHINERY CORPRPORATION,Not Found,Not Found,"2700 Colusa Hwy YUBA CITY, CA 95993",154,2020-04-07
"NORTH STATE TIRE COMPANY, INC",Not Found,Not Found,"1286 PUTMAN AVE YUBA CITY, CA 95991",36,2020-04-28
"NEW LEGEND, INC",Not Found,Not Found,"1235 Oswald Road YUBA CITY, CA 95991",271,2020-06-30
"NORTH STATE STAFFING AND BUSINESS SOLUTIONS, INC.",Not Found,Not Found,"870 W Onstott Frontage Road E YUBA CITY, CA 95991",35,2020-04-15
NEWLAND ENTITIES INC.,Not Found,Not Found,"1930 COBBLESTONE CT YUBA CITY, CA 95993",12,2020-04-28
"NOR-CAL PUMP & WELL DRILLING, INC.",Not Found,Not Found,"1325 BARRY RD YUBA CITY, CA 95993",24,2020-04-28
"MIDVALLEY RECOVERY FACILITIES, INC",Not Found,Not Found,"430 TEEGARDEN AVE YUBA CITY, CA 95991",26,2020-04-15
"NEW EARTH MARKET, LP YUBA CITY",Not Found,Not Found,"1475 THARP RD YUBA CITY, CA 95993",43,2020-04-09
"MELE ENTERPRISES, INC",Not Found,Not Found,"399 STATE HIGHWAY 99 YUBA CITY, CA 95993",43,2020-04-10
"MECHANICAL & IRRIGATION SOLUTIONS, INC.",Not Found,Not Found,"3199 ONSTOTT RD YUBA CITY, CA 95991",Not Found,2020-04-15
"MAGNUM TRUCKING, INC.",Not Found,Not Found,"1938 Elliott Drive YUBA CITY, CA 95993",41,2020-04-28
MAGNOLIA MODERN DENTISTRY,Not Found,Not Found,"933 SHASTA ST YUBA CITY, CA 95991",16,2020-04-09
LAMON CONSTRUCTION COMPANY INC,Not Found,Not Found,"871 VON GELDERN WAY YUBA CITY, CA 95991",100,2020-04-30
"LA SUPERIOR YUBA, INC.",Not Found,Not Found,"700 GRAY AVE YUBA CITY, CA 95991",41,2020-04-14
"NELSON MFG. CO., INC",Not Found,Not Found,"2860 COLUSA HWY YUBA CITY, CA 95993",Not Found,2020-04-11
"KMK INVESTMENTS, INC.",Not Found,Not Found,"1700 POOLE BLVD YUBA CITY, CA 95993",18,2020-04-14
KAM FOODS INC.,Not Found,Not Found,"866 W. ONSTOTT FRONTAGE RD YUBA CITY, CA 95991",Not Found,2020-04-10
JOSHUA GOUKER,Not Found,Not Found,"3560 Railroad Avenue YUBA CITY, CA 95991",Not Found,2020-06-22
"JOHN L. SULLIVAN DODGE CHRYSLER, INC.",Not Found,Not Found,"950 HARTER PKWY YUBA CITY, CA 95993",Not Found,2020-04-11
"JSP VETERINARY ENTERPRISE, INC.",Not Found,Not Found,"1630 Sierra Ave YUBA CITY, CA 95993",26,2020-04-15
JOHN BURGER HEATING & AIR CONDITIONING INC,Not Found,Not Found,"710 COOPER AVE YUBA CITY, CA 95991",18,2020-04-14
JOHAL TRANS INC,Not Found,Not Found,"1384 TORI LN YUBA CITY, CA 95993",8,2020-04-29
"JACUZZI ENTERPRISES, INC.",Not Found,Not Found,"437 CENTURY PARK DR STE B YUBA CITY, CA 95991",76,2020-04-28
JEROME D TENNEY,Not Found,Not Found,"1528 Starr Dr YUBA CITY, CA 95993",16,2020-04-15
HEITZ TRUCKING INC.,Not Found,Not Found,"3450 INDUSTRIAL DR # 2 YUBA CITY, CA 95993",16,2020-05-01
HANALEI HOLDINGS LLC,Not Found,Not Found,"521 LOREL WAY YUBA CITY, CA 95991",141,2020-04-15
"HOME LIVING SKILLS, INCORPORATED",Not Found,Not Found,"1585 BUTTE HOUSE RD STE D YUBA CITY, CA 95993",84,2020-05-11
HUCKLEBERRY'S NORTH INC,Not Found,Not Found,"724 W. ONSTOTT FRONTAGE RD YUBA CITY, CA 95991",Not Found,2020-04-08
HILO ERECTORS INC.,Not Found,Not Found,"216 EPLEY DR YUBA CITY, CA 95991",19,2020-04-09
"HUTRX PHARMACY, INC., A. CALIFORNIA CORPORATION",Not Found,Not Found,"737 COLUSA AVE YUBA CITY, CA 95991",10,2020-04-30
"HILBERS, INC.",Not Found,Not Found,"770 N. WALTON AVE YUBA CITY, CA 95993",85,2020-04-05
HSD TRUCKING INC,Not Found,Not Found,"1137 LEONARD CT YUBA CITY, CA 95993",Not Found,2020-04-07
"H.R. BEELER TRACTOR AND EQUIPMENT, INC.",Not Found,Not Found,"887 ONSTOTT RD YUBA CITY, CA 95991",45,2020-04-13
"H.A.R.T HIGH-VOLTAGE APPARATUS REPAIR & TESTING CO., INC.",Not Found,Not Found,"1612 POOLE BLVD YUBA CITY, CA 95993",14,2020-04-11
YUCAIPA AUTO COLLISION LLC,Not Found,Not Found,"12478 CALIFORNIA ST YUCAIPA, CA 92399",17,2020-04-15
"WINEGARDNER MASONRY, INC.",Not Found,Not Found,"32147 Dunlap Blvd Ste A YUCAIPA, CA 92399",150,2020-05-01
"GRIFFIN EXPRESS, INC.",Not Found,Not Found,"1527 Starr Drive Suite Q YUBA CITY, CA 95993",30,2020-04-28
"GOLDEN VALLEY AUTO BODY, INC",Not Found,Not Found,"727 SUTTER ST YUBA CITY, CA 95991",14,2020-04-11
GLINES CARPET ONE INC,Not Found,Not Found,"671 B COLUSA AVE YUBA CITY, CA 95991",15,2020-04-27
SOUTHERN CALIFORNIA EMERGENCY MEDICINE,Not Found,Not Found,"33494 Oak Glen Road YUCAIPA, CA 92399",55,2020-04-14
"RAWSON ENTERPRISES, INC.",Not Found,Not Found,"10233 JEFFERSON ST YUCAIPA, CA 92399",10,2020-05-03
FIVE RIVER TRUCKING INC,Not Found,Not Found,"1020 OSWALD RD YUBA CITY, CA 95991",Not Found,2020-05-03
GEORGE PAGANY,Not Found,Not Found,"1249 JODI DR YUBA CITY, CA 95993",241,2020-04-15
"FEATHER RIVER PLANTS, INC.",Not Found,Not Found,"5320 Garden Hwy YUBA CITY, CA 95991",67,2020-04-15
"SORENSON ENGINEERING, INC.",Not Found,Not Found,"32032 DUNLAP BLVD YUCAIPA, CA 92399",404,2020-04-13
PRIDE AUTOMOTIVE REAIR INC,Not Found,Not Found,"33387 James Stewart Cir YUCAIPA, CA 92399",6,2020-04-30
SERENDIPITY GARDEN WEDDING INC,Not Found,Not Found,"12849 Oak Glen Rd YUCAIPA, CA 92399",30,2020-04-27
"FLETCHER'S PLUMBING AND CONTRACTING, INC.",Not Found,Not Found,"219 BURNS DR YUBA CITY, CA 95991",41,2020-04-05
"PACWEST ENGINEERING CO, INC.",Not Found,Not Found,"34282 Yucaipa Boulevard YUCAIPA, CA 92399",37,2020-04-14
"ESCALERA, INC.",Not Found,Not Found,"345 EPLEY DR YUBA CITY, CA 95991",20,2020-04-14
PREMIUM CONCRETE CONSTRUCTION INC,Not Found,Not Found,"12206 3RD ST YUCAIPA, CA 92399",20,2020-04-30
"ET QUALITY RV, INC.",Not Found,Not Found,"2021 LIVE OAK BLVD YUBA CITY, CA 95991",17,2020-04-14
PRECISION COLD PLANING INC.,Not Found,Not Found,"13552 CALIMESA BLVD YUCAIPA, CA 92399",23,2020-04-28
"FAITH CHRISTIAN SCHOOLS, INC",Not Found,Not Found,"3105 COLUSA HIGHWAY YUBA CITY, CA 95993",32,2020-04-11
PACIFIC WEST UNDERGROUND INC.,Not Found,Not Found,"STE K 32147 DUNLAP BLVD YUCAIPA, CA 92399",26,2020-04-16
"EMERALD OAKS CARE, INC.",Not Found,Not Found,"2290 FORREST LN YUBA CITY, CA 95993",Not Found,2020-04-12
"ON THE ROAD VENTURES, LLC",Not Found,Not Found,"12099 OAK GLEN RD YUCAIPA, CA 92399",63,2020-04-10
NATIONAL SERVICE &AMP; CONTROLS INC,Not Found,Not Found,"34880 G AVE YUCAIPA, CA 92399",39,2020-05-03
DRS SALEM AND SOLIMAN DENTAL CORP,Not Found,Not Found,"853 PLUMAS ST YUBA CITY, CA 95991",60,2020-05-03
EDGAR RAMIREZ CAMAREMA,Not Found,Not Found,"421 TEEGARDEN AVE SUITE A YUBA CITY, CA 95991",400,2020-05-12
NEONATOLOGY MEDICAL GROUP INC,Not Found,Not Found,"33353 YUCAIPA BLVD YUCAIPA, CA 92399",0,2020-05-04
EL ZARAPE INN INC,Not Found,Not Found,"1005 STAFFORD WAY YUBA CITY, CA 95991",37,2020-04-28
MOYLAN VAN LINES,Not Found,Not Found,"37378 Wildwood View Dr. YUCAIPA, CA 92399",38,2020-04-29
"DOW LEWIS MOTORS, INC.",Not Found,Not Found,"2913 COLUSA HWY YUBA CITY, CA 95993",42,2020-04-15
MARTIN CONSTRUCTION INC.,Not Found,Not Found,"35176 Avenue E YUCAIPA, CA 92399",49,2020-04-14
"MARTIN CONSTRUCTION, INC.",Not Found,Not Found,"400 Kokomo Road N/A HAINES CITY, FL 33844",12,2020-04-28
MARTIN CONSTRUCTION INC,Not Found,Not Found,"3685 116th Ave SW DICKINSON, ND 58601",95,2020-04-03
LUTHERAN BRAILLE WORKERS INC,Not Found,Not Found,"13471 California Street YUCAIPA, CA 92399",11,2020-04-28
"DLT, INC.",Not Found,Not Found,"655 ONSTOTT FRONTAGE RD YUBA CITY, CA 95991",52,2020-04-15
"LITTLE SMILES PEDIATRIC DENTISTRY, INC.",Not Found,Not Found,"31646 Dunlap Blvd. Ste. C YUCAIPA, CA 92399",210,2020-05-03
"KITTY'S SWEEPING, INC.",Not Found,Not Found,"12968 8TH ST YUCAIPA, CA 92399",11,2020-05-21
"DAR-KIM, INC.",Not Found,Not Found,"3300 COLUSA HWY YUBA CITY, CA 95993",27,2020-04-10
LEC ENTERPRISE CORPORATION,Not Found,Not Found,"12855 Brooks Lane YUCAIPA, CA 92399",50,2020-04-27
